Hochschule Koblenz RheinMoselCampus	Hochschule Koblenz
Hochschule Nordhausen, Hochschulbibliothek	Hochschule Nordhausen
Hochschule Osnabrück - Bibliothek	Hochschule Osnabru.ck
Hochschule Ravensburg-Weingarten (HRW)	Hochschule Ravensburg-Weingarten Technik, Wirtschaft, Sozialwesen
Hochschule Ravensburg-Weingarten (HRW)	Fachhochschule Ravensburg-Weingarten, Hochschule fu.r Technik und Sozialwesen
Hochschule Reutlingen - Lernzentrum	Hochschule Reutlingen
Hochschule Rhein-Waal	Hochschule Rhein-Waal
Hochschule Schmalkalden / Bibliothek	Hochschule Schmalkalden
Hochschule Trier / Bibliothek	Hochschule Trier
Hochschulinformations- und Bibliotheksservice (HIBS) der HAW-Hamburg	Hochschule fu.r Angewandte Wissenschaften Hamburg
Hochschul- und Kreisbibliothek Bonn-Rhein-Sieg	Hochschule Bonn-Rhein-Sieg
Hochschul- und Landesbibliothek Fulda	Hochschule Fulda
Hochschul- und Landesbibliothek Fulda	Fachhochschule Fulda
Hochschul- und Landesbibliothek RheinMain	Hochschule RheinMain
Hochschul- und Landeskirchenbibliothek Wuppertal	Kirchliche Hochschule Wuppertal
HSFK-Bibliothek Frankfurt am Main	Hessische Stiftung Friedens- und Konfliktforschung
Humboldt-Universität zu Berlin	Humboldt-Universita.t zu Berlin
Ibero-Amerikanisches Institut, Berlin	Ibero-Amerikanisches Institut
IfADo - Leibniz-Institut für Arbeitsforschung an der TU Dortmund - Bibliothek	Leibniz-Institut fu.r Arbeitsforschung
